Trade number,Type,Date and time,Signal,Price,Size (qty),Size (value),Net PnL NONE,Net PnL %,Favorable excursion NONE,Favorable excursion %,Adverse excursion NONE,Adverse excursion %,Cumulative PnL NONE,Cumulative PnL %
47,Exit long,3/13/2013 10:15,Bear flip exit,11935.65,28,332082.8,1915.52,0.58,10573.98,3.18,-1233.62,-0.37,234807.75,234.81
47,Entry long,3/6/2013 10:15,Long,11860.1,28,332082.8,1915.52,0.58,10573.98,3.18,-1233.62,-0.37,234807.75,234.81
48,Exit long,5/22/2013 14:15,Bear flip exit,12995.25,26,330200,7476.08,2.26,18472.74,5.59,-4880.46,-1.48,242283.83,242.28
48,Entry long,5/9/2013 13:15,Long,12700,26,330200,7476.08,2.26,18472.74,5.59,-4880.46,-1.48,242283.83,242.28
49,Exit long,7/16/2013 10:15,Bear flip exit,11291.6,29,337748.5,-10491.66,-3.11,4695.28,1.39,-12767.07,-3.78,231792.16,231.79
49,Entry long,7/11/2013 10:15,Long,11646.5,29,337748.5,-10491.66,-3.11,4695.28,1.39,-12767.07,-3.78,231792.16,231.79
50,Exit long,9/3/2013 14:15,Bear flip exit,8798.05,36,329738.4,-13202.54,-4,2572.28,0.78,-14826.52,-4.5,218589.62,218.59
50,Entry long,9/2/2013 10:15,Long,9159.4,36,329738.4,-13202.54,-4,2572.28,0.78,-14826.52,-4.5,218589.62,218.59
51,Exit long,9/20/2013 11:15,Bear flip exit,10442.15,33,311995.2,32398.77,10.38,58153.05,18.63,-2309.55,-0.74,250988.39,250.99
51,Entry long,9/5/2013 10:15,Long,9454.4,33,311995.2,32398.77,10.38,58153.05,18.63,-2309.55,-0.74,250988.39,250.99
52,Exit long,10/17/2013 9:15,Bear flip exit,10405.7,33,341327.25,1855.44,0.54,12422.75,3.64,-13170.4,-3.86,252843.83,252.84
52,Entry long,10/8/2013 10:15,Long,10343.25,33,341327.25,1855.44,0.54,12422.75,3.64,-13170.4,-3.86,252843.83,252.84
53,Exit long,10/29/2013 10:15,Bear flip exit,10679.15,33,351276.75,924.09,0.26,14640.67,4.17,-443.63,-0.13,253767.92,253.77
53,Entry long,10/18/2013 13:15,Long,10644.75,33,351276.75,924.09,0.26,14640.67,4.17,-443.63,-0.13,253767.92,253.77
